Sample month,GMV slab,Creators sampled,Sample orders,M+0,Spend M+0,Sample cost M+0,M+1,Spend M+1,Sample cost M+1,M+2,Spend M+2,Sample cost M+2,M+3,Spend M+3,Sample cost M+3,M+4,Spend M+4,Sample cost M+4,M+5,Spend M+5,Sample cost M+5,M+6 and later,Spend M+6 and later,Sample cost M+6 and later,Total GMV,Total spend,Total sample cost,ROAS,Final ROAS,Months observed
2025-12,£25K-£50K,2,2,40.0,6.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,332.0,81.0,23.0,402.0,93.0,41.0,4.32,3.0,10
2025-12,£50K+,1,1,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,10
2025-12,No data,6,6,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,,0.0,10
2026-01,£0-£50,615,620,735.0,234.0,4080.0,483.0,166.0,19.0,0.0,6.0,0.0,116.0,3.0,0.0,0.0,1.0,6.0,154.0,63.0,0.0,0.0,19.0,35.0,1488.0,492.0,4140.0,3.02,0.32,9
2026-01,£50-£100,37,37,81.0,26.0,229.0,55.0,16.0,18.0,135.0,9.0,0.0,127.0,44.0,6.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,398.0,102.0,265.0,3.9,1.08,9
2026-01,£100-£200,45,45,274.0,29.0,289.0,0.0,9.0,0.0,64.0,4.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,0.0,12.0,34.0,0.0,12.0,372.0,44.0,325.0,8.45,1.01,9
2026-01,£200-£500,40,40,350.0,62.0,278.0,72.0,12.0,6.0,0.0,1.0,0.0,0.0,2.0,24.0,0.0,1.0,30.0,0.0,4.0,18.0,49.0,65.0,52.0,471.0,147.0,408.0,3.2,0.85,9
2026-01,£500-£1K,22,24,157.0,135.0,144.0,0.0,7.0,6.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,30.0,84.0,1.0,24.0,216.0,536.0,73.0,457.0,686.0,283.0,0.67,0.47,9
2026-01,£1K-£5K,27,27,1447.0,1143.0,174.0,749.0,190.0,0.0,24.0,14.0,0.0,404.0,34.0,12.0,103.0,6.0,12.0,273.0,33.0,24.0,1686.0,1072.0,75.0,4686.0,2492.0,297.0,1.88,1.68,9
2026-01,£5K-£10K,5,5,156.0,36.0,36.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,156.0,51.0,48.0,3.06,1.58,9
2026-01,£10K-£25K,10,10,2170.0,1264.0,60.0,16493.0,5721.0,0.0,2066.0,945.0,6.0,1423.0,536.0,12.0,730.0,314.0,18.0,331.0,25.0,24.0,31.0,52.0,37.0,23244.0,8857.0,157.0,2.62,2.58,9
2026-01,£25K-£50K,2,2,5350.0,5245.0,27.0,2605.0,3242.0,0.0,3281.0,4505.0,0.0,1875.0,2770.0,0.0,1112.0,1642.0,0.0,28.0,85.0,0.0,237.0,660.0,6.0,14488.0,18149.0,33.0,0.8,0.8,9
2026-01,£50K+,1,1,383.0,194.0,6.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,431.0,206.0,6.0,2.09,2.03,9
2026-01,No data,7,7,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,,0.0,9
2026-02,£0-£50,356,359,401.0,118.0,2682.0,550.0,45.0,24.0,110.0,4.0,30.0,0.0,1.0,30.0,0.0,3.0,24.0,0.0,1.0,12.0,17.0,24.0,6.0,1078.0,196.0,2808.0,5.5,0.36,8
2026-02,£50-£100,49,50,222.0,74.0,371.0,109.0,47.0,12.0,0.0,1.0,0.0,0.0,1.0,18.0,0.0,2.0,6.0,20.0,4.0,6.0,0.0,7.0,12.0,351.0,136.0,425.0,2.58,0.63,8
2026-02,£100-£200,55,59,197.0,121.0,446.0,50.0,9.0,12.0,0.0,5.0,6.0,26.0,6.0,30.0,65.0,26.0,30.0,0.0,1.0,0.0,34.0,5.0,24.0,372.0,173.0,548.0,2.15,0.52,8
2026-02,£200-£500,89,95,397.0,79.0,731.0,263.0,27.0,24.0,122.0,4.0,24.0,64.0,2.0,24.0,388.0,33.0,110.0,174.0,5.0,70.0,68.0,39.0,30.0,1476.0,189.0,1013.0,7.81,1.23,8
2026-02,£500-£1K,59,64,592.0,114.0,466.0,114.0,94.0,14.0,168.0,8.0,12.0,80.0,11.0,47.0,1068.0,549.0,66.0,68.0,31.0,12.0,78.0,60.0,86.0,2168.0,867.0,703.0,2.5,1.38,8
2026-02,£1K-£5K,127,137,1217.0,714.0,1076.0,3954.0,3614.0,60.0,669.0,103.0,36.0,1608.0,832.0,160.0,1134.0,1106.0,125.0,164.0,180.0,160.0,1041.0,1018.0,434.0,9787.0,7567.0,2051.0,1.29,1.02,8
2026-02,£5K-£10K,29,30,1288.0,786.0,210.0,306.0,38.0,6.0,273.0,14.0,30.0,58.0,21.0,54.0,727.0,520.0,42.0,130.0,36.0,38.0,236.0,134.0,63.0,3018.0,1549.0,443.0,1.95,1.52,8
2026-02,£10K-£25K,35,40,4950.0,3457.0,275.0,14133.0,11292.0,30.0,1616.0,1948.0,18.0,2610.0,2499.0,18.0,2990.0,2582.0,42.0,70.0,8.0,6.0,9186.0,10279.0,111.0,35555.0,32065.0,500.0,1.11,1.09,8
2026-02,£25K-£50K,14,14,3049.0,1065.0,90.0,1447.0,1606.0,0.0,25.0,47.0,6.0,1204.0,175.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,97.0,181.0,36.0,5822.0,3078.0,138.0,1.89,1.81,8
2026-02,£50K+,6,6,0.0,12.0,36.0,865.0,260.0,0.0,52.0,22.0,0.0,25.0,26.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,29.0,4.0,0.0,971.0,337.0,42.0,2.88,2.56,8
2026-02,No data,2,2,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,,0.0,8
2026-03,£0-£50,394,395,705.0,107.0,2602.0,665.0,50.0,54.0,271.0,7.0,60.0,132.0,9.0,30.0,0.0,1.0,18.0,34.0,13.0,18.0,0.0,3.0,24.0,1807.0,190.0,2806.0,9.51,0.6,7
2026-03,£50-£100,132,134,424.0,36.0,918.0,161.0,26.0,6.0,360.0,9.0,65.0,86.0,8.0,12.0,100.0,30.0,0.0,28.0,13.0,18.0,20.0,74.0,0.0,1179.0,196.0,1019.0,6.02,0.97,7
2026-03,£100-£200,169,170,3065.0,2201.0,1080.0,313.0,22.0,30.0,51.0,15.0,89.0,130.0,13.0,84.0,54.0,4.0,30.0,301.0,82.0,66.0,0.0,42.0,18.0,3914.0,2379.0,1397.0,1.65,1.04,7
2026-03,£200-£500,265,266,614.0,159.0,1756.0,516.0,53.0,48.0,196.0,64.0,238.0,905.0,108.0,292.0,296.0,162.0,150.0,77.0,167.0,111.0,280.0,42.0,18.0,2884.0,755.0,2613.0,3.82,0.86,7
2026-03,£500-£1K,174,175,579.0,149.0,1085.0,303.0,34.0,72.0,389.0,79.0,196.0,987.0,211.0,209.0,263.0,34.0,172.0,367.0,150.0,112.0,227.0,77.0,60.0,3115.0,734.0,1906.0,4.24,1.18,7
2026-03,£1K-£5K,253,260,9370.0,4201.0,1716.0,3144.0,830.0,79.0,1504.0,356.0,380.0,3354.0,912.0,508.0,1086.0,446.0,330.0,6946.0,4780.0,734.0,1208.0,650.0,192.0,26612.0,12175.0,3939.0,2.19,1.65,7
2026-03,£5K-£10K,50,50,33039.0,16268.0,324.0,111.0,17.0,6.0,2526.0,508.0,60.0,2602.0,555.0,60.0,4920.0,1085.0,32.0,16465.0,7453.0,130.0,4523.0,2646.0,54.0,64186.0,28532.0,666.0,2.25,2.2,7
2026-03,£10K-£25K,30,31,25379.0,11000.0,236.0,14499.0,4635.0,12.0,1638.0,161.0,42.0,21048.0,3333.0,30.0,2182.0,784.0,79.0,2426.0,1634.0,40.0,1586.0,1124.0,41.0,68758.0,22671.0,480.0,3.03,2.97,7
2026-03,£25K-£50K,9,10,434.0,252.0,66.0,763.0,857.0,6.0,488.0,67.0,0.0,878.0,77.0,18.0,456.0,178.0,22.0,458.0,287.0,29.0,190.0,147.0,11.0,3667.0,1865.0,152.0,1.97,1.82,7
2026-03,£50K+,5,5,266.0,9.0,30.0,816.0,516.0,12.0,3146.0,1479.0,0.0,21241.0,13038.0,18.0,130.0,87.0,14.0,400.0,579.0,51.0,71.0,88.0,12.0,26070.0,15796.0,137.0,1.65,1.64,7
2026-03,No data,5,5,38.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,41.0,38.0,0.9,7
2026-04,£0-£50,150,151,208.0,34.0,910.0,0.0,5.0,30.0,0.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,249.0,44.0,970.0,5.66,0.25,6
